 Call Option At the money,,
Frequency, Daily,
Time Intervals,252,
 Stock Price,100,
Strike,100,
Volatility, varying 0.01 to 2,
 Call Option,,
 Risk Free Rate,0.05,
Time to Expiry,1,
 ,,
0,0.951229425,0.532324815
0.01,0.951229425,0.532324815
0.02,0.945807417,0.532324815
0.03,0.907092379,0.532324815
0.04,0.847735663,0.532324815
0.05,0.789900914,0.532324815
0.06,0.753088335,0.532324815
0.07,0.715039158,0.532324815
0.08,0.687453505,0.532324815
0.09,0.667382564,0.532324815
0.1,0.637228591,0.532324815
0.11,0.62552847,0.532324815
0.12,0.612116135,0.532324815
0.13,0.600130644,0.532324815
0.14,0.585101219,0.532324815
0.15,0.575779171,0.532324815
0.16,0.558466795,0.532324815
0.17,0.55247405,0.532324815
0.18,0.542391018,0.532324815
0.19,0.532403109,0.532324815
0.2,0.537634871,0.532324815
0.21,0.526124995,0.532324815
0.22,0.526885978,0.532324815
0.23,0.519085897,0.532324815
0.24,0.511476062,0.532324815
0.25,0.512998029,0.532324815
0.26,0.500536923,0.532324815
0.27,0.503771103,0.532324815
0.28,0.475614712,0.532324815
0.29,0.480656228,0.532324815
0.3,0.481607458,0.532324815
0.31,0.475804958,0.532324815
0.32,0.481702581,0.532324815
0.33,0.465817049,0.532324815
0.34,0.469812213,0.532324815
0.35,0.462107254,0.532324815
0.36,0.45678037,0.532324815
0.37,0.457065738,0.532324815
0.38,0.455924263,0.532324815
0.39,0.450026641,0.532324815
0.4,0.45097787,0.532324815
0.41,0.443653404,0.532324815
0.42,0.440133855,0.532324815
0.43,0.444224141,0.532324815
0.44,0.436899675,0.532324815
0.45,0.438707011,0.532324815
0.46,0.429860577,0.532324815
0.47,0.429765454,0.532324815
0.48,0.419587299,0.532324815
0.49,0.424343446,0.532324815
0.5,0.413975046,0.532324815
0.51,0.425199553,0.532324815
0.52,0.41283357,0.532324815
0.53,0.406270087,0.532324815
0.54,0.418255578,0.532324815
0.55,0.406745702,0.532324815
0.56,0.404272505,0.532324815
0.57,0.400943202,0.532324815
0.58,0.393523613,0.532324815
0.59,0.401989555,0.532324815
0.6,0.389908941,0.532324815
0.61,0.399611481,0.532324815
0.62,0.394855334,0.532324815
0.63,0.379160049,0.532324815
0.64,0.379350294,0.532324815
0.65,0.392096769,0.532324815
0.66,0.380016155,0.532324815
0.67,0.377733204,0.532324815
0.68,0.383916196,0.532324815
0.69,0.378208819,0.532324815
0.7,0.373547795,0.532324815
0.71,0.373833164,0.532324815
0.72,0.364701361,0.532324815
0.73,0.358708616,0.532324815
0.74,0.364606238,0.532324815
0.75,0.362513534,0.532324815
0.76,0.35851837,0.532324815
0.77,0.358993985,0.532324815
0.78,0.358803739,0.532324815
0.79,0.358423247,0.532324815
0.8,0.344820666,0.532324815
0.81,0.347008494,0.532324815
0.82,0.349481691,0.532324815
0.83,0.353286608,0.532324815
0.84,0.343774314,0.532324815
0.85,0.33654497,0.532324815
0.86,0.333215667,0.532324815
0.87,0.33977915,0.532324815
0.88,0.33426202,0.532324815
0.89,0.33911329,0.532324815
0.9,0.334071774,0.532324815
0.91,0.328744889,0.532324815
0.92,0.331979069,0.532324815
0.93,0.328554643,0.532324815
0.94,0.316854521,0.532324815
0.95,0.322086283,0.532324815
0.96,0.321420423,0.532324815
0.97,0.313430095,0.532324815
0.98,0.317520382,0.532324815
0.99,0.3155228,0.532324815
1,0.308578825,0.532324815
1.01,0.310956899,0.532324815
1.02,0.308578825,0.532324815
1.03,0.308103211,0.532324815
1.04,0.304108047,0.532324815
1.05,0.298115302,0.532324815
1.06,0.304869031,0.532324815
1.07,0.301064113,0.532324815
1.08,0.299827515,0.532324815
1.09,0.29516649,0.532324815
1.1,0.289459114,0.532324815
1.11,0.292312802,0.532324815
1.12,0.281088295,0.532324815
1.13,0.294690876,0.532324815
1.14,0.284607844,0.532324815
1.15,0.284512721,0.532324815
1.16,0.284227352,0.532324815
1.17,0.278615098,0.532324815
1.18,0.28156391,0.532324815
1.19,0.275476041,0.532324815
1.2,0.278900467,0.532324815
1.21,0.27252723,0.532324815
1.22,0.275856533,0.532324815
1.23,0.272717476,0.532324815
1.24,0.27414432,0.532324815
1.25,0.267866206,0.532324815
1.26,0.257592928,0.532324815
1.27,0.262539321,0.532324815
1.28,0.251695306,0.532324815
1.29,0.260066125,0.532324815
1.3,0.25312215,0.532324815
1.31,0.260446616,0.532324815
1.32,0.2612076,0.532324815
1.33,0.252741658,0.532324815
1.34,0.25312215,0.532324815
1.35,0.251124568,0.532324815
1.36,0.238853708,0.532324815
1.37,0.257402682,0.532324815
1.38,0.246748913,0.532324815
1.39,0.243895224,0.532324815
1.4,0.247414773,0.532324815
1.41,0.234858545,0.532324815
1.42,0.241517151,0.532324815
1.43,0.238948831,0.532324815
1.44,0.238853708,0.532324815
1.45,0.230958504,0.532324815
1.46,0.229341414,0.532324815
1.47,0.231624365,0.532324815
1.48,0.222492562,0.532324815
1.49,0.224775513,0.532324815
1.5,0.227343832,0.532324815
1.51,0.220399858,0.532324815
1.52,0.222397439,0.532324815
1.53,0.220019366,0.532324815
1.54,0.221160841,0.532324815
1.55,0.219448628,0.532324815
1.56,0.216499817,0.532324815
1.57,0.210887563,0.532324815
1.58,0.213170514,0.532324815
1.59,0.208699736,0.532324815
1.6,0.202516744,0.532324815
1.61,0.207368015,0.532324815
1.62,0.206702154,0.532324815
1.63,0.211838793,0.532324815
1.64,0.204419203,0.532324815
1.65,0.204799695,0.532324815
1.66,0.190436131,0.532324815
1.67,0.198141089,0.532324815
1.68,0.195953261,0.532324815
1.69,0.20204113,0.532324815
1.7,0.19395568,0.532324815
1.71,0.191958098,0.532324815
1.72,0.197284983,0.532324815
1.73,0.189675147,0.532324815
1.74,0.186250721,0.532324815
1.75,0.189960516,0.532324815
1.76,0.185489738,0.532324815
1.77,0.180353099,0.532324815
1.78,0.183111664,0.532324815
1.79,0.175501829,0.532324815
1.8,0.177309165,0.532324815
1.81,0.174645722,0.532324815
1.82,0.182731172,0.532324815
1.83,0.179116501,0.532324815
1.84,0.177689656,0.532324815
1.85,0.177118919,0.532324815
1.86,0.17845064,0.532324815
1.87,0.172077403,0.532324815
1.88,0.167606625,0.532324815
1.89,0.168843223,0.532324815
1.9,0.163135846,0.532324815
1.91,0.163516338,0.532324815
1.92,0.158950437,0.532324815
1.93,0.164848059,0.532324815
1.94,0.157808962,0.532324815
1.95,0.159140683,0.532324815
1.96,0.164182199,0.532324815
1.97,0.160091912,0.532324815
1.98,0.157618716,0.532324815
1.99,0.150104003,0.532324815
