 Call Option out the money,,
Frequency, Daily,
Time Intervals,252,
 Stock Price,90,
Strike,100,
Volatility, varying 0.01 to 2,
 Call Option,,
 Risk Free Rate,0.05,
Time to Expiry,1,
 ,,
0,0,0.532324815
0.01,0,0.532324815
0.02,0.003043934,0.532324815
0.03,0.028727129,0.532324815
0.04,0.077049583,0.532324815
0.05,0.118618309,0.532324815
0.06,0.160567527,0.532324815
0.07,0.193860557,0.532324815
0.08,0.21982912,0.532324815
0.09,0.240946413,0.532324815
0.1,0.260922231,0.532324815
0.11,0.27091014,0.532324815
0.12,0.288222516,0.532324815
0.13,0.293644523,0.532324815
0.14,0.303156818,0.532324815
0.15,0.313430095,0.532324815
0.16,0.317805751,0.532324815
0.17,0.324654603,0.532324815
0.18,0.326366816,0.532324815
0.19,0.334071774,0.532324815
0.2,0.338352306,0.532324815
0.21,0.339493782,0.532324815
0.22,0.342537716,0.532324815
0.23,0.33426202,0.532324815
0.24,0.342062101,0.532324815
0.25,0.350908535,0.532324815
0.26,0.356045174,0.532324815
0.27,0.358137878,0.532324815
0.28,0.358708616,0.532324815
0.29,0.348245092,0.532324815
0.3,0.341776732,0.532324815
0.31,0.350908535,0.532324815
0.32,0.354523207,0.532324815
0.33,0.355189067,0.532324815
0.34,0.34881583,0.532324815
0.35,0.350147551,0.532324815
0.36,0.344915789,0.532324815
0.37,0.356425665,0.532324815
0.38,0.3536671,0.532324815
0.39,0.348530461,0.532324815
0.4,0.345391404,0.532324815
0.41,0.345676773,0.532324815
0.42,0.340254765,0.532324815
0.43,0.343488945,0.532324815
0.44,0.353381731,0.532324815
0.45,0.346628002,0.532324815
0.46,0.341776732,0.532324815
0.47,0.351669518,0.532324815
0.48,0.350908535,0.532324815
0.49,0.338066937,0.532324815
0.5,0.335974233,0.532324815
0.51,0.337971815,0.532324815
0.52,0.34301333,0.532324815
0.53,0.336735216,0.532324815
0.54,0.339208413,0.532324815
0.55,0.326652184,0.532324815
0.56,0.337305954,0.532324815
0.57,0.341586486,0.532324815
0.58,0.336069356,0.532324815
0.59,0.327032676,0.532324815
0.6,0.333976651,0.532324815
0.61,0.325891201,0.532324815
0.62,0.322847267,0.532324815
0.63,0.325605832,0.532324815
0.64,0.322181406,0.532324815
0.65,0.32941075,0.532324815
0.66,0.332930299,0.532324815
0.67,0.319137472,0.532324815
0.68,0.319327718,0.532324815
0.69,0.318947226,0.532324815
0.7,0.319327718,0.532324815
0.71,0.3155228,0.532324815
0.72,0.31485694,0.532324815
0.73,0.322181406,0.532324815
0.74,0.308578825,0.532324815
0.75,0.316569152,0.532324815
0.76,0.315332554,0.532324815
0.77,0.309625178,0.532324815
0.78,0.305439768,0.532324815
0.79,0.299447023,0.532324815
0.8,0.309530055,0.532324815
0.81,0.311242268,0.532324815
0.82,0.298590916,0.532324815
0.83,0.298305548,0.532324815
0.84,0.29678358,0.532324815
0.85,0.298020179,0.532324815
0.86,0.298876285,0.532324815
0.87,0.292027433,0.532324815
0.88,0.29288354,0.532324815
0.89,0.286795671,0.532324815
0.9,0.288412762,0.532324815
0.91,0.282705385,0.532324815
0.92,0.289363991,0.532324815
0.93,0.281754156,0.532324815
0.94,0.281373664,0.532324815
0.95,0.286510303,0.532324815
0.96,0.279471205,0.532324815
0.97,0.282420016,0.532324815
0.98,0.269578419,0.532324815
0.99,0.273002845,0.532324815
1,0.274524812,0.532324815
1.01,0.27671264,0.532324815
1.02,0.272812599,0.532324815
1.03,0.274239443,0.532324815
1.04,0.270434525,0.532324815
1.05,0.266534485,0.532324815
1.06,0.262539321,0.532324815
1.07,0.265297886,0.532324815
1.08,0.271576001,0.532324815
1.09,0.261873461,0.532324815
1.1,0.260827108,0.532324815
1.11,0.254548994,0.532324815
1.12,0.2612076,0.532324815
1.13,0.257022191,0.532324815
1.14,0.252931904,0.532324815
1.15,0.247034282,0.532324815
1.16,0.250363585,0.532324815
1.17,0.248080634,0.532324815
1.18,0.24893674,0.532324815
1.19,0.241612274,0.532324815
1.2,0.244561085,0.532324815
1.21,0.245512314,0.532324815
1.22,0.244465962,0.532324815
1.23,0.241612274,0.532324815
1.24,0.240756167,0.532324815
1.25,0.243514733,0.532324815
1.26,0.241422028,0.532324815
1.27,0.242848872,0.532324815
1.28,0.232480471,0.532324815
1.29,0.234763422,0.532324815
1.3,0.232860963,0.532324815
1.31,0.223158423,0.532324815
1.32,0.229436537,0.532324815
1.33,0.232195103,0.532324815
1.34,0.226963341,0.532324815
1.35,0.223253546,0.532324815
1.36,0.22629748,0.532324815
1.37,0.222112071,0.532324815
1.38,0.216214448,0.532324815
1.39,0.223253546,0.532324815
1.4,0.211268055,0.532324815
1.41,0.21240953,0.532324815
1.42,0.218021784,0.532324815
1.43,0.216214448,0.532324815
1.44,0.218782768,0.532324815
1.45,0.207272892,0.532324815
1.46,0.20850949,0.532324815
1.47,0.20432408,0.532324815
1.48,0.204894818,0.532324815
1.49,0.207272892,0.532324815
1.5,0.202611867,0.532324815
1.51,0.202897236,0.532324815
1.52,0.192528836,0.532324815
1.53,0.202516744,0.532324815
1.54,0.198521581,0.532324815
1.55,0.194241048,0.532324815
1.56,0.19395568,0.532324815
1.57,0.192053221,0.532324815
1.58,0.194526417,0.532324815
1.59,0.1907215,0.532324815
1.6,0.189389778,0.532324815
1.61,0.194526417,0.532324815
1.62,0.196714245,0.532324815
1.63,0.1907215,0.532324815
1.64,0.189865393,0.532324815
1.65,0.18587023,0.532324815
1.66,0.186155598,0.532324815
1.67,0.183111664,0.532324815
1.68,0.182921418,0.532324815
1.69,0.180448222,0.532324815
1.7,0.179211624,0.532324815
1.71,0.179401869,0.532324815
1.72,0.173314001,0.532324815
1.73,0.172457895,0.532324815
1.74,0.179496992,0.532324815
1.75,0.169794452,0.532324815
1.76,0.172172526,0.532324815
1.77,0.172743263,0.532324815
1.78,0.168272485,0.532324815
1.79,0.164087076,0.532324815
1.8,0.166084658,0.532324815
1.81,0.170270067,0.532324815
1.82,0.169128592,0.532324815
1.83,0.167416379,0.532324815
1.84,0.163135846,0.532324815
1.85,0.160377281,0.532324815
1.86,0.163611461,0.532324815
1.87,0.154765027,0.532324815
1.88,0.155526011,0.532324815
1.89,0.158760191,0.532324815
1.9,0.153433306,0.532324815
1.91,0.153147937,0.532324815
1.92,0.1525772,0.532324815
1.93,0.144681995,0.532324815
1.94,0.151245478,0.532324815
1.95,0.14287466,0.532324815
1.96,0.147345438,0.532324815
1.97,0.149818634,0.532324815
1.98,0.14610884,0.532324815
1.99,0.143825889,0.532324815
